name,id,term_pct,mid_pct,delta,pval,term_hit,mid_hit,neg_log10p,sig
TCF3,MA0522.4,93.5656836461126,41.935483870967744,51.63019977514486,3.747456182640501e-12,349,13,10.0,True
STAT3,MA0144.3,81.50134048257372,29.032258064516128,52.469082418057596,2.3248168375417956e-09,304,9,8.633611257646445,True
STAT1,MA0137.4,81.23324396782841,35.483870967741936,45.74937300008648,1.5148502679858263e-07,303,11,6.819630291914929,True
TCF4,MA0830.3,79.08847184986595,38.70967741935484,40.378794430511114,4.14659211738053e-06,295,12,5.382308682234951,True
KLF4,MA0039.5,73.99463806970509,38.70967741935484,35.28496065035025,0.00010061592768933292,276,12,3.9973332642100465,True
KLF6,MA1517.2,78.28418230563003,45.16129032258065,33.12289198304938,0.00013184220716157383,292,14,3.879945535091221,True
CEBPD,MA0836.3,50.134048257372655,19.35483870967742,30.779209547695235,0.0011510023724676799,187,6,2.9389237811933535,True
MAFK,MA0496.4,44.50402144772118,16.129032258064516,28.374989189656663,0.002078637197252084,166,5,2.6822213052722272,True
RELB,MA1117.2,82.57372654155496,58.064516129032256,24.509210412522705,0.003092612609701734,308,18,2.5096744776708158,True
SOX4,MA0867.3,81.76943699731903,58.064516129032256,23.704920868286777,0.00382450947206905,305,18,2.4174242591338375,True
NR4A1,MA1112.3,53.083109919571044,29.032258064516128,24.050851855054916,0.01401702743347727,198,9,1.853344076677137,True
NR4A2,MA0160.3,58.71313672922252,35.483870967741936,23.229265761480583,0.014146647943072058,219,11,1.8493464542942615,True
RUNX3,MA0684.3,64.87935656836461,41.935483870967744,22.94387269739687,0.01862164264357294,242,13,1.729982011884543,True
NFKB2,MA0778.2,37.265415549597854,16.129032258064516,21.13638329153334,0.018818115382864754,139,5,1.7254238729282052,True
CEBPA,MA0102.5,29.222520107238605,12.903225806451612,16.319294300786993,0.06045237304611702,109,4,1.2185866463233808,False
RELA,MA0107.1,42.0911528150134,25.806451612903224,16.284701202110178,0.08819061280122324,157,8,1.0545776396481545,False
CEBPB,MA0466.4,19.302949061662197,6.451612903225806,12.851336158436391,0.09064925337391738,72,2,1.0426357685891352,False
FOSL1,MA0477.3,56.56836461126005,41.935483870967744,14.632880740292308,0.13381774124564674,211,13,0.873486304996347,False
IRF2,MA0051.2,8.310991957104557,0.0,8.310991957104557,0.15303900961984276,31,0,0.8151978534749386,False
EGR2,MA0472.2,18.766756032171582,29.032258064516128,-10.265502032344546,0.1638049310376732,70,9,0.7856730287647459,False
FOSL2,MA0478.2,74.79892761394102,64.51612903225806,10.282798581682954,0.20759889128333403,279,20,0.6827749702398409,False
JUN,MA0488.2,28.41823056300268,38.70967741935484,-10.29144685635216,0.2243130027445171,106,12,0.6491455509532789,False
JUND,MA0491.3,47.72117962466488,35.483870967741936,12.237308656922941,0.2608243257916626,178,11,0.5836519065581398,False
JUND,MA0492.2,35.924932975871315,45.16129032258065,-9.236357346709333,0.3346261663366249,134,14,0.4754401020726913,False
JUNB,MA1140.3,9.651474530831099,3.225806451612903,6.4256680792181955,0.33956075682477777,36,1,0.4690825071184622,False
IRF3,MA1418.2,1.3404825737265416,3.225806451612903,-1.8853238778863615,0.3825356811936896,5,1,0.4173280496010837,False
FOS,MA0476.2,72.11796246648794,64.51612903225806,7.601833434229874,0.4081398557205509,269,20,0.3891909933807503,False
MAF,MA1520.2,8.579088471849866,3.225806451612903,5.353282020236963,0.4955138426095499,32,1,0.30494420861569904,False
IRF7,MA0772.2,8.847184986595174,3.225806451612903,5.621378534982271,0.4977546401383762,33,1,0.3029846827277771,False
BATF,MA1634.2,87.1313672922252,83.87096774193549,3.260399550289719,0.5812084779415071,325,26,0.23566805938371901,False
BATF3,MA0835.3,87.1313672922252,83.87096774193549,3.260399550289719,0.5812084779415071,325,26,0.23566805938371901,False
EGR1,MA0162.5,43.96782841823056,38.70967741935484,5.2581509988757205,0.7067856489977615,164,12,0.1507122772529311,False
JUNB,MA0490.3,42.89544235924933,38.70967741935484,4.18576493989449,0.708524897774304,160,12,0.1496448839119276,False
ETS1,MA0098.4,42.89544235924933,38.70967741935484,4.18576493989449,0.708524897774304,160,12,0.1496448839119276,False
IRF4,MA1419.2,1.3404825737265416,0.0,1.3404825737265416,1.0,5,0,-0.0,False
FOS,MA1951.2,5.093833780160858,3.225806451612903,1.8680273285479547,1.0,19,1,-0.0,False
IRF5,MA1420.1,2.9490616621983916,0.0,2.9490616621983916,1.0,11,0,-0.0,False
IRF8,MA0652.2,2.1447721179624666,0.0,2.1447721179624666,1.0,8,0,-0.0,False
NFKB1,MA0105.4,5.630026809651475,3.225806451612903,2.4042203580385717,1.0,21,1,-0.0,False
